Frage;Antwort;Fundstellen im IT-Grundschutz-Kompendium 2023
Was ist der Unterschied zwischen Prozess- und Systembausteinen?;Prozess-Bausteine gelten in der Regel für sämtliche oder große Teile des Informationsverbunds gleichermaßen, System-Bausteine lassen sich in der Regel auf einzelne Objekte oder Gruppen von Objekten anwenden. Die Prozess- und System-Bausteine bestehen wiederum aus weiteren Teilschichten. In den Hinweisen zum Schichtenmodell und zur Modellierung wird beschrieben, wann ein einzelner Baustein sinnvollerweise eingesetzt werden soll und auf welche Zielobjekte er anzuwenden ist. ;"Hinweise zum Schichtenmodell und zur Modellierung
Um einen komplexen Informationsverbund nach IT-Grundschutz zu modellieren, müssen die passenden Bausteine des IT-Grundschutz-Kompendiums ausgewählt und umgesetzt werden. Um die Auswahl zu erleichtern, sind die Bausteine im IT-Grundschutz-Kompendium zunächst in prozess- und systemorientierte Bausteine aufgeteilt. Prozess-Bausteine gelten in der Regel für sämtliche oder große Teile des Informationsverbunds gleichermaßen, System-Bausteine lassen sich in der Regel auf einzelne Objekte oder Gruppen von Objekten anwenden. Die Prozess- und System-Bausteine bestehen wiederum aus weiteren Teilschichten.
In den Hinweisen zum Schichtenmodell und zur Modellierung wird beschrieben, wann ein einzelner Baustein sinnvollerweise eingesetzt werden soll und auf welche Zielobjekte er anzuwenden ist. Außerdem sind die Bausteine danach gekennzeichnet, ob sie vor- oder nachrangig umgesetzt werden sollten."
Welche grundlegenden Sicherheitsmaßnahmen müssen beim Einrichten eines Webservers ergriffen werden?;Nach der Installation eines Webservers muss eine sichere Grundkonfiguration vorgenommen werden. Dazu gehört die Zuweisung des Webserver-Prozesses einem Konto mit minimalen Rechten, die Ausführung in einer gekapselten Umgebung (sofern unterstützt), sowie die Deaktivierung nicht benötigter Module und Funktionen. Ist eine gekapselte Umgebung nicht möglich, sollte jeder Webserver auf einem eigenen physischen oder virtuellen Server laufen. Dem Webserver-Dienst MÜSSEN alle nicht notwendige Schreibberechtigungen entzogen werden. Nicht benötigte Module und Funktionen des Webservers MÜSSEN deaktiviert werden.;"APP.3.2.A1 Sichere Konfiguration eines Webservers (B)
Nachdem der IT-Betrieb einen Webserver installiert hat, MUSS er eine sichere Grundkonfiguration vornehmen. Dazu MUSS er insbesondere den Webserver-Prozess einem Konto mit minimalen Rechten zuweisen. Der Webserver MUSS in einer gekapselten Umgebung ausgeführt werden, sofern dies vom Betriebssystem unterstützt wird. Ist dies nicht möglich, SOLLTE jeder Webserver auf einem eigenen physischen oder virtuellen Server ausgeführt werden. Dem Webserver-Dienst MÜSSEN alle nicht notwendige Schreibberechtigungen entzogen werden.
Nicht benötigte Module und Funktionen des Webservers MÜSSEN deaktiviert werden."
Wie müssen Webserver-Dateien geschützt werden?;Alle Dateien auf dem Webserver, insbesondere Skripte und Konfigurationsdateien, müssen so geschützt werden, dass sie nicht unbefugt gelesen oder verändert werden können. Der Webserver muss so konfiguriert sein, dass er nur Dateien aus dem definierten WWW-Wurzelverzeichnis ausliefert. Nicht benötigte Funktionen zur Verzeichnisaufzählung müssen deaktiviert werden, und vertrauliche Daten dürfen nicht in öffentlichen Verzeichnissen gespeichert werden. Regelmäßige Überprüfungen sind erforderlich.;"APP.3.2.A2 Schutz der Webserver-Dateien (B)
Der IT-Betrieb MUSS alle Dateien auf dem Webserver, insbesondere Skripte und Konfigurationsdateien, so schützen, dass sie nicht unbefugt gelesen und geändert werden können. Es MUSS sichergestellt werden, dass Webanwendungen nur auf einen definierten Verzeichnisbaum
zugreifen können (WWW-Wurzelverzeichnis). Der Webserver MUSS so konfiguriert sein, dass er nur Dateien ausliefert, die sich innerhalb des WWW-Wurzelverzeichnisses befinden.Der IT-Betrieb MUSS alle nicht benötigten Funktionen, die Verzeichnisse auflisten, deaktivieren.
Vertrauliche Daten MÜSSEN vor unberechtigtem Zugriff geschützt werden. Insbesondere MUSS der IT-Betrieb sicherstellen, dass vertrauliche Dateien nicht in öffentlichen Verzeichnissen des Webservers liegen. Der IT-Betrieb MUSS regelmäßig überprüfen, ob vertrauliche Dateien in öffentlichen Verzeichnissen gespeichert wurden."
Welche Sicherheitsanforderungen gelten für Datei-Uploads und -Downloads über einen Webserver?;Alle mithilfe des Webservers veröffentlichten Dateien müssen vorher auf Schadsoftware geprüft werden. Es muss eine Maximalgröße für Datei-Uploads festgelegt und ausreichend Speicherplatz reserviert sein.;"APP.3.2.A3 Absicherung von Datei-Uploads und -Downloads (B)
Alle mithilfe des Webservers veröffentlichten Dateien MÜSSEN vorher auf Schadprogramme geprüft werden. Es MUSS eine Maximalgröße für Datei-Uploads spezifiziert sein. Für Uploads MUSS genügend Speicherplatz reserviert werden."
Welche Ereignisse müssen auf einem Webserver protokolliert werden?;Der Webserver muss mindestens folgende Ereignisse protokollieren: erfolgreiche Zugriffe auf Ressourcen, fehlgeschlagene Zugriffe aufgrund von Berechtigungsproblemen, nicht vorhandenen Ressourcen oder Server-Fehlern sowie allgemeine Fehlermeldungen. Die Protokollierungsdaten sollten regelmäßig ausgewertet werden.;"APP.3.2.A4 Protokollierung von Ereignissen (B)
Der Webserver MUSS mindestens folgende Ereignisse protokollieren:
•erfolgreiche Zugriffe auf Ressourcen,
•fehlgeschlagene Zugriffe auf Ressourcen aufgrund von mangelnder Berechtigung, nicht vorhandenen Ressourcen und Server-Fehlern sowie
•allgemeine Fehlermeldungen.
Die Protokollierungsdaten SOLLTEN regelmäßig ausgewertet werden."
Wie müssen Passwörter bei der Authentisierung am Webserver gesichert werden?;Wenn Clients sich mit Passwörtern am Webserver authentisieren, müssen diese kryptografisch gesichert und vor unbefugtem Zugriff geschützt gespeichert werden.;"APP.3.2.A5 Authentisierung (B)
Wenn sich Clients mit Hilfe von Passwörtern am Webserver authentisieren, MÜSSEN diese kryptografisch gesichert und vor unbefugtem Zugriff geschützt gespeichert werden."
Welche Anforderungen gelten an die Verschlüsselung von Verbindungen zu Webservern?;Der Webserver muss für alle Verbindungen durch nicht vertrauenswürdige Netze eine sichere Verschlüsselung über TLS (HTTPS) anbieten. Veraltete Verfahren wie SSL oder RC4 sollten nur in Ausnahmefällen verwendet und auf ein Minimum beschränkt werden. Bei Nutzung von HTTPS dürfen keine Inhalte über HTTP geliefert werden (kein Mixed Content).;"APP.3.2.A11 Verschlüsselung über TLS (B)
Der Webserver MUSS für alle Verbindungen durch nicht vertrauenswürdige Netze eine sichere Verschlüsselung über TLS anbieten (HTTPS). Falls es aus Kompatibilitätsgründen erforderlich ist, veraltete Verfahren zu verwenden, SOLLTEN diese auf so wenige Fälle wie möglich beschränkt werden. Wenn eine HTTPS-Verbindung genutzt wird, MÜSSEN alle Inhalte über HTTPS ausgeliefert werden. Sogenannter Mixed Content DARF NICHT verwendet werden."
Welche Maßnahmen sollten bei der Planung des Einsatzes eines Webservers berücksichtigt werden?;Es sollte geplant und dokumentiert werden, für welchen Zweck der Webserver eingesetzt wird, welche Inhalte er bereitstellt und welche Zielgruppen adressiert werden. Zudem sollten geeignete Zuständige für den technischen Betrieb und die Webinhalte festgelegt werden.;"APP.3.2.A8 Planung des Einsatzes eines Webservers (S)
Es SOLLTE geplant und dokumentiert werden, für welchen Zweck der Webserver eingesetzt und welche Inhalte er bereitstellen soll. In der Dokumentation SOLLTEN auch die Informationen oder Dienstleistungen des Webangebots und die jeweiligen Zielgruppen beschrieben werden. Für den technischen Betrieb und die Webinhalte SOLLTEN geeignete Zuständige festgelegt werden."
Was ist bei der Auswahl eines externen Webhosters zu beachten?;Bei der Nutzung externer Webhosting-Dienste sollte vertraglich geregelt werden, wie die Dienste erbracht werden. Sicherheitsaspekte müssen im Service Level Agreement (SLA) festgehalten werden. Der Webhoster sollte regelmäßig Kontrollen und Wartungen durchführen und bei technischen Problemen oder Kompromittierungen zeitnah reagieren. Er muss grundlegende technische und organisatorische Sicherheitsmaßnahmen umsetzen.;"APP.3.2 Webserver
APP.3.2.A10 Auswahl eines geeigneten Webhosters (S)
Betreibt die Institution den Webserver nicht selbst, sondern nutzt Angebote externer Unternehmen im Rahmen von Webhosting, SOLLTE die Institution bei der Auswahl eines geeigneten Webhosters auf folgende Punkte achten:
•Es SOLLTE vertraglich geregelt werden, wie die Dienste zu erbringen sind. Dabei SOLLTEN Sicherheitsaspekte innerhalb des Vertrags schriftlich in einem Service Level Agreement (SLA) festgehalten werden.
•Die eingesetzten IT-Systeme SOLLTEN vom Webhoster regelmäßig kontrolliert und gewartet werden. Der Webhoster SOLLTE dazu verpflichtet werden, bei technischen Problemen oder einer Kompromittierung von Kundschaftssystemen zeitnah zu reagieren.
•Der Webhoster SOLLTE grundlegende technische und organisatorische Maßnahmen umsetzen, um seinen Informationsverbund zu schützen."
Wie sollten Fehlermeldungen auf einem Webserver gestaltet sein?;Aus HTTP-Antworten und Fehlermeldungen dürfen weder der Produktname noch die verwendete Version des Webservers ersichtlich sein. Fehlermeldungen dürfen keine Details zu Systeminformationen oder Konfigurationen enthalten. Stattdessen sollten allgemeine Fehlermeldungen ausgegeben werden, die einen eindeutigen Hinweis für die Nachvollziehbarkeit durch den IT-Betrieb enthalten. Bei unerwarteten Fehlern darf der Webserver nicht in einem anfälligen Zustand verbleiben.;"APP.3.2 Webserver
APP.3.2.A12 Geeigneter Umgang mit Fehlern und Fehlermeldungen (S)
Aus den HTTP-Informationen und den angezeigten Fehlermeldungen SOLLTEN weder der Produktname noch die verwendete Version des Webservers ersichtlich sein. Fehlermeldungen SOLLTEN keine Details zu Systeminformationen oder Konfigurationen ausgeben. Der IT-Betrieb SOLLTE sicherstellen, dass der Webserver ausschließlich allgemeine Fehlermeldungen ausgibt, die Clients darauf hinweisen, dass ein Fehler aufgetreten ist. Die Fehlermeldung SOLLTE ein eindeutiges Merkmal enthalten, das es dem IT-Betrieb ermöglicht, den Fehler nachzuvollziehen. Bei unerwarteten Fehlern SOLLTE sichergestellt sein, dass der Webserver nicht in einem Zustand verbleibt, in dem er anfällig für Angriffe ist."
